"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","225","Elementos Visuais","chromium","Tue Dec 16 03:13:03 UTC 2025","failed","Tue Dec 16 03:13:03 UTC 2025","CENÁRIOS DE INTERFACE","","",""
"","446","has title","chromium","Tue Dec 16 03:13:18 UTC 2025","passed","Tue Dec 16 03:13:19 UTC 2025","","","",""
"","232","Múltiplas Submissões Rápidas","chromium","Tue Dec 16 03:12:57 UTC 2025","failed","Tue Dec 16 03:12:58 UTC 2025","CENÁRIOS DE SEGURANÇA","","",""
"","239","Navegação Direta com Parâmetros","chromium","Tue Dec 16 03:12:49 UTC 2025","failed","Tue Dec 16 03:12:49 UTC 2025","CENÁRIOS DE NAVEGAÇÃO","","",""
"Teste para verificar funcionalidades avançadas e responsividade do Google","4114","Deve verificar funcionalidades avançadas do Google","chromium","Tue Dec 16 03:13:14 UTC 2025","passed","Tue Dec 16 03:13:18 UTC 2025","Exemplo de Testes com Allure","","",""
"","226","Usuário Sem Permissões","chromium","Tue Dec 16 03:13:36 UTC 2025","failed","Tue Dec 16 03:13:36 UTC 2025","CENÁRIOS DE ACESSO NEGADO","","",""
"","448","Meu primeiro teste com Playwright","chromium","Tue Dec 16 03:13:31 UTC 2025","passed","Tue Dec 16 03:13:31 UTC 2025","","","",""
"Teste para verificar se o login no sistema Único é realizado com sucesso","281","Deve logar e redirecionar para a página inicial","chromium","Tue Dec 16 03:13:21 UTC 2025","failed","Tue Dec 16 03:13:22 UTC 2025","CENÁRIOS DE TESTES: LOGIN","","",""
"","235","Email com Domínio Correto mas Usuário Inexistente","chromium","Tue Dec 16 03:13:39 UTC 2025","failed","Tue Dec 16 03:13:39 UTC 2025","CENÁRIOS DE ACESSO NEGADO","","",""
"Teste para verificar a funcionalidade de pesquisa do Google","3248","Deve realizar uma pesquisa no Google","chromium","Tue Dec 16 03:13:11 UTC 2025","passed","Tue Dec 16 03:13:14 UTC 2025","Exemplo de Testes com Allure","","",""
"","229","Entrada Excessivamente Longa","chromium","Tue Dec 16 03:12:55 UTC 2025","failed","Tue Dec 16 03:12:55 UTC 2025","CENÁRIOS DE SEGURANÇA","","",""
"","547","URLs Protegidas","chromium","Tue Dec 16 03:12:39 UTC 2025","failed","Tue Dec 16 03:12:40 UTC 2025","CENÁRIOS DE NAVEGAÇÃO","","",""
"Teste básico para verificar se a página do Google carrega corretamente","976","Deve carregar a página inicial do Google","chromium","Tue Dec 16 03:13:10 UTC 2025","passed","Tue Dec 16 03:13:11 UTC 2025","Exemplo de Testes com Allure","","",""
"","230","seed","chromium","Tue Dec 16 03:13:33 UTC 2025","failed","Tue Dec 16 03:13:33 UTC 2025","Test group","","",""
"","238","deve validar campo obrigatório quando usuário está vazio","chromium","Tue Dec 16 03:13:30 UTC 2025","failed","Tue Dec 16 03:13:30 UTC 2025","Login - Tentativa com Campo Vazio","","",""
"","235","Botão Voltar do Navegador","chromium","Tue Dec 16 03:12:43 UTC 2025","failed","Tue Dec 16 03:12:43 UTC 2025","CENÁRIOS DE NAVEGAÇÃO","","",""
"","232","Injeção de Código","chromium","Tue Dec 16 03:12:52 UTC 2025","failed","Tue Dec 16 03:12:52 UTC 2025","CENÁRIOS DE SEGURANÇA","","",""
"","649","get started link","chromium","Tue Dec 16 03:13:19 UTC 2025","passed","Tue Dec 16 03:13:19 UTC 2025","","","",""
"","234","Login Bem-sucedido","chromium","Tue Dec 16 03:13:27 UTC 2025","failed","Tue Dec 16 03:13:27 UTC 2025","CENÁRIOS DE LOGIN VÁLIDO","","",""
"","226","Comportamento do Placeholder","chromium","Tue Dec 16 03:13:09 UTC 2025","failed","Tue Dec 16 03:13:09 UTC 2025","CENÁRIOS DE INTERFACE","","",""
"","223","Interações de Teclado","chromium","Tue Dec 16 03:13:06 UTC 2025","failed","Tue Dec 16 03:13:06 UTC 2025","CENÁRIOS DE INTERFACE","","",""
"","488","Campo Obrigatório Vazio","chromium","Tue Dec 16 03:12:35 UTC 2025","failed","Tue Dec 16 03:12:36 UTC 2025","CENÁRIOS DE VALIDAÇÃO","","",""
"","495","Refresh da Página Durante Login","chromium","Tue Dec 16 03:12:46 UTC 2025","failed","Tue Dec 16 03:12:47 UTC 2025","CENÁRIOS DE NAVEGAÇÃO","","",""
"Teste para incluir documento preenchendo apenas os campos obrigatórios","262","Deve incluir documento com dados obrigatórios","chromium","Tue Dec 16 03:13:00 UTC 2025","failed","Tue Dec 16 03:13:01 UTC 2025","CENÁRIOS DE TESTES: Incluir Documento","","",""
"Teste para verificar se o sistema exibe a mensagem de erro ao tentar logar sem preencher o campo obrigatório Usuário","265","Não deve realizar login com campo obrigatório vazio","chromium","Tue Dec 16 03:13:24 UTC 2025","failed","Tue Dec 16 03:13:24 UTC 2025","CENÁRIOS DE TESTES: LOGIN","","",""
