"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Teste para verificar se o sistema exibe a mensagem de erro ao tentar logar sem preencher o campo obrigatório Usuário","257","Não deve realizar login com campo obrigatório vazio","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE TESTES: LOGIN","","",""
"","243","Usuário Sem Permissões","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE ACESSO NEGADO","","",""
"","513","Meu primeiro teste com Playwright","chromium","2025-12-16","passed","2025-12-16","","","",""
"","640","get started link","chromium","2025-12-16","passed","2025-12-16","","","",""
"Teste para verificar funcionalidades avançadas e responsividade do Google","3520","Deve verificar funcionalidades avançadas do Google","chromium","2025-12-16","passed","2025-12-16","Exemplo de Testes com Allure","","",""
"Teste para incluir documento preenchendo apenas os campos obrigatórios","346","Deve incluir documento com dados obrigatórios","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE TESTES: Incluir Documento","","",""
"Teste para verificar a funcionalidade de pesquisa do Google","3329","Deve realizar uma pesquisa no Google","chromium","2025-12-16","passed","2025-12-16","Exemplo de Testes com Allure","","",""
"Teste para verificar se o login no sistema Único é realizado com sucesso","262","Deve logar e redirecionar para a página inicial","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE TESTES: LOGIN","","",""
"","407","has title","chromium","2025-12-16","passed","2025-12-16","","","",""
"","452","Botão Voltar do Navegador","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE NAVEGAÇÃO","","",""
"","701","Campo Obrigatório Vazio","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE VALIDAÇÃO","","",""
"","233","seed","chromium","2025-12-16","failed","2025-12-16","Test group","","",""
"","225","Refresh da Página Durante Login","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE NAVEGAÇÃO","","",""
"","225","Entrada Excessivamente Longa","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE SEGURANÇA","","",""
"","449","Navegação Direta com Parâmetros","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE NAVEGAÇÃO","","",""
"","447","Comportamento do Placeholder","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE INTERFACE","","",""
"","224","Email com Domínio Correto mas Usuário Inexistente","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE ACESSO NEGADO","","",""
"","236","Injeção de Código","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE SEGURANÇA","","",""
"","230","Elementos Visuais","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE INTERFACE","","",""
"","443","Múltiplas Submissões Rápidas","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE SEGURANÇA","","",""
"","467","URLs Protegidas","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE NAVEGAÇÃO","","",""
"","228","Interações de Teclado","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE INTERFACE","","",""
"Teste básico para verificar se a página do Google carrega corretamente","882","Deve carregar a página inicial do Google","chromium","2025-12-16","passed","2025-12-16","Exemplo de Testes com Allure","","",""
"","231","deve validar campo obrigatório quando usuário está vazio","chromium","2025-12-16","failed","2025-12-16","Login - Tentativa com Campo Vazio","","",""
"","237","Login Bem-sucedido","chromium","2025-12-16","failed","2025-12-16","CENÁRIOS DE LOGIN VÁLIDO","","",""
